long_name,age,height_cm,weight_kg,nationality,league_rank,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves,body_type,real_face,release_clause_eur,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,num_traits,Atk_effort,Def_effort,player_versatility
Nick Pope,28,200,76,0,1.0,82,83,18500000,59000,1,1,3,1,0,Yes,18500000,79.0,81.0,75.0,84.0,48.0,83.0,11,14,11,32,14,15,13,12,35,24,50,47,36,75,42,56,72,37,73,15,36,21,13,43,22,62,15,14,79,81,75,83,84,33,33,33,28,30,30,30,28,33,33,33,32,34,34,34,32,30,33,33,33,30,29,31,31,31,29,2,1,1,1
Jiří Pavlenka,28,196,81,41,1.0,82,83,18500000,32000,1,1,3,1,1,Yes,18500000,84.0,76.0,68.0,87.0,36.0,76.0,11,16,14,28,19,12,10,14,17,19,35,37,39,80,27,51,36,20,68,17,22,13,14,25,18,39,10,14,84,76,68,76,87,31,31,31,25,27,27,27,25,28,28,28,26,26,26,26,26,25,26,26,26,25,25,26,26,26,25,1,1,1,1
Néstor Fernando Muslera Micol,34,190,74,16,1.0,82,82,9500000,64000,1,3,2,1,1,No,9500000,84.0,76.0,75.0,83.0,61.0,82.0,15,10,12,44,10,25,14,10,47,27,60,62,68,78,62,56,84,45,68,10,32,23,13,62,24,53,16,16,84,76,75,82,83,36,36,36,35,36,36,36,35,42,42,42,41,42,42,42,41,36,39,39,39,36,35,33,33,33,35,4,1,1,1
Oliver Baumann,30,187,82,1,1.0,82,82,15000000,37000,1,2,1,1,1,Yes,15000000,81.0,80.0,79.0,82.0,49.0,79.0,14,11,16,30,11,19,12,11,25,17,47,51,45,82,43,59,73,39,69,13,32,21,10,41,22,52,18,14,81,80,79,79,82,32,32,32,28,30,30,30,28,31,31,31,31,32,32,32,31,31,32,32,32,31,30,32,32,32,30,2,1,1,1
Agustín Federico Marchesín,32,188,85,4,1.0,82,82,13500000,16000,1,1,3,1,1,Yes,13500000,82.0,78.0,76.0,86.0,53.0,81.0,18,14,11,37,15,24,16,15,34,20,55,52,68,82,60,57,75,38,59,12,45,15,18,65,14,64,15,15,82,78,76,81,86,34,34,34,34,35,35,35,34,39,39,39,37,38,38,38,37,32,34,34,34,32,31,31,31,31,31,2,1,1,1
Tomáš Vaclík,31,188,85,41,1.0,82,82,14000000,29000,1,1,3,1,1,No,14000000,82.0,76.0,76.0,85.0,37.0,81.0,15,14,19,17,13,14,17,16,38,20,36,37,36,79,56,57,73,38,73,16,29,23,15,68,13,60,18,18,82,76,76,81,85,32,32,32,27,30,30,30,27,33,33,33,31,35,35,35,31,29,33,33,33,29,29,32,32,32,29,3,1,1,1
Raphael William Anjos Rochedo,32,190,85,5,1.0,82,82,13500000,32000,1,1,2,1,1,No,13500000,79.0,84.0,77.0,78.0,42.0,83.0,10,8,11,18,8,9,9,18,16,21,41,42,34,82,41,58,67,29,79,7,34,23,27,71,14,67,17,13,79,84,77,83,78,32,32,32,27,31,31,31,27,33,33,33,30,32,32,32,30,28,31,31,31,28,28,32,32,32,28,1,1,1,1
Odisseas Vlachodimos,26,188,77,43,1.0,81,86,17500000,14000,1,1,3,1,1,Yes,17500000,84.0,76.0,67.0,86.0,43.0,77.0,15,12,13,27,14,13,17,13,24,23,42,44,67,83,38,50,74,39,68,16,32,23,14,46,18,56,14,12,84,76,67,77,86,32,32,32,28,30,30,30,28,33,33,33,31,32,32,32,31,30,32,32,32,30,30,31,31,31,30,2,1,1,1
Alessio Cragno,26,184,78,8,1.0,81,85,16500000,32000,1,1,3,1,0,No,16500000,84.0,78.0,69.0,88.0,39.0,76.0,15,12,12,26,13,13,11,12,25,21,41,37,37,71,43,52,74,43,55,17,33,19,15,42,31,59,11,12,84,78,69,76,88,30,30,30,26,28,28,28,26,30,30,30,29,31,31,31,29,28,30,30,30,28,28,28,28,28,28,1,1,1,1
Jordan Pickford,26,185,77,0,1.0,81,84,16000000,70000,0,1,5,1,1,Yes,16000000,81.0,77.0,87.0,85.0,48.0,77.0,17,19,15,55,20,14,18,16,56,40,53,44,55,80,55,65,77,45,70,13,42,24,18,68,45,64,20,12,81,77,87,77,85,39,39,39,36,39,39,39,36,45,45,45,41,47,47,47,41,36,43,43,43,36,35,36,36,36,35,4,1,1,1
Walter Daniel Benítez,27,191,93,4,1.0,81,84,15500000,35000,1,1,2,1,2,No,15500000,80.0,79.0,77.0,83.0,48.0,80.0,12,14,13,26,13,15,19,17,27,14,48,48,48,75,45,58,62,42,80,14,28,21,18,46,25,62,20,17,80,79,77,80,83,33,33,33,27,29,29,29,27,31,31,31,31,31,31,31,31,30,32,32,32,30,30,32,32,32,30,0,1,1,1
Esteban Maximiliano Andrada,29,193,83,4,1.0,81,82,14500000,19000,1,1,2,1,0,No,14500000,77.0,79.0,82.0,83.0,44.0,82.0,15,14,13,37,18,16,14,15,38,23,45,44,34,74,43,62,57,45,62,13,24,25,19,53,19,44,20,14,77,79,82,82,83,34,34,34,29,32,32,32,29,35,35,35,34,37,37,37,34,33,36,36,36,33,32,32,32,32,32,1,1,1,1
Marko Dmitrović,28,194,94,36,1.0,81,82,15000000,30000,0,1,2,1,1,Yes,15000000,78.0,80.0,79.0,82.0,37.0,81.0,30,20,20,40,20,8,20,9,40,9,39,35,32,76,37,59,50,45,79,17,20,17,9,45,9,59,22,20,78,80,79,81,82,32,32,32,26,28,28,28,26,31,31,31,31,34,34,34,31,32,34,34,34,32,32,32,32,32,32,2,1,1,1
Andrea Consigli,33,189,82,8,1.0,81,81,9500000,32000,1,2,3,1,0,No,9500000,81.0,82.0,72.0,83.0,40.0,80.0,10,10,10,31,19,10,15,15,27,23,48,34,57,75,40,54,80,31,51,19,11,15,10,46,21,63,17,19,81,82,72,80,83,29,29,29,26,28,28,28,26,32,32,32,29,32,32,32,29,28,29,29,29,28,27,26,26,26,27,0,1,1,1
Łukasz Fabiański,35,190,83,14,1.0,81,81,4800000,26000,1,2,2,1,1,Yes,4800000,80.0,82.0,70.0,82.0,48.0,81.0,14,13,11,20,17,14,18,12,32,22,50,47,53,75,44,53,69,25,65,20,43,16,15,52,22,63,12,13,80,82,70,81,82,31,31,31,28,30,30,30,28,32,32,32,31,31,31,31,31,27,29,29,29,27,27,29,29,29,27,2,1,1,1
Simon Luc Hildebert Mignolet,32,193,87,25,1.0,81,81,11000000,26000,1,3,3,1,1,Yes,11000000,80.0,75.0,76.0,82.0,51.0,84.0,11,11,16,37,16,14,16,12,34,26,50,52,34,74,52,57,69,31,72,16,34,21,14,43,41,61,14,16,80,75,76,84,82,34,34,34,29,31,31,31,29,35,35,35,33,35,35,35,33,31,34,34,34,31,30,32,32,32,30,5,1,1,1
Jordi Masip López,31,180,76,2,1.0,81,81,11500000,21000,1,1,4,1,0,Yes,11500000,82.0,82.0,72.0,84.0,65.0,77.0,20,12,13,42,19,17,21,20,38,25,65,65,70,77,67,54,85,41,54,13,21,16,11,62,12,65,14,13,82,82,72,77,84,34,34,34,34,35,35,35,34,39,39,39,38,38,38,38,38,34,34,34,34,34,33,30,30,30,33,2,1,1,1
Jasper Cillessen,31,185,83,7,1.0,81,81,11500000,33000,1,3,3,1,0,No,11500000,81.0,80.0,77.0,79.0,53.0,80.0,17,10,12,50,19,12,10,10,35,32,56,50,48,79,50,58,71,40,67,15,25,25,11,60,21,61,12,11,81,80,77,80,79,35,35,35,33,34,34,34,33,40,40,40,38,41,41,41,38,35,38,38,38,35,34,32,32,32,34,1,1,1,1
Unai Simón Mendibil,23,190,89,2,1.0,80,86,15500000,18000,1,1,2,1,1,No,15500000,81.0,77.0,68.0,80.0,47.0,83.0,16,14,18,29,17,12,20,14,21,16,46,48,32,70,47,51,60,45,76,13,27,26,14,31,24,48,18,12,81,77,68,83,80,32,32,32,25,27,27,27,25,28,28,28,29,29,29,29,29,30,30,30,30,30,30,31,31,31,30,1,1,1,1
Dominik Livaković,25,187,79,35,1.0,80,86,15000000,500,1,1,3,1,1,No,15000000,80.0,78.0,74.0,82.0,55.0,79.0,13,12,13,46,10,19,12,11,56,28,57,54,65,80,30,56,61,32,75,9,26,21,11,60,15,64,20,21,80,78,74,79,82,35,35,35,33,35,35,35,33,40,40,40,38,42,42,42,38,34,40,40,40,34,34,35,35,35,34,1,1,1,1
Alejandro Remiro Gargallo,25,191,83,2,1.0,80,84,14000000,25000,1,1,4,1,0,No,14000000,83.0,72.0,78.0,81.0,43.0,81.0,12,13,13,34,15,19,14,17,29,23,40,46,69,73,40,59,66,42,73,11,34,20,11,35,24,55,17,18,83,72,78,81,81,32,32,32,28,29,29,29,28,32,32,32,31,32,32,32,31,31,33,33,33,31,30,31,31,31,30,1,1,1,1
Juan Agustín Musso,26,191,93,4,1.0,80,83,13500000,17000,1,1,3,1,1,No,13500000,82.0,77.0,74.0,84.0,44.0,80.0,20,18,15,31,15,16,16,12,24,20,46,42,32,68,39,56,51,35,70,14,27,18,19,48,25,67,14,16,82,77,74,80,84,33,33,33,28,31,31,31,28,32,32,32,32,32,32,32,32,29,30,30,30,29,28,29,29,29,28,0,1,1,1
Mathew Ryan,28,184,82,28,1.0,80,82,13000000,53000,1,1,4,1,1,Yes,13000000,81.0,75.0,82.0,82.0,52.0,78.0,23,11,14,40,15,13,23,12,45,24,53,52,53,74,50,62,78,34,65,18,36,23,10,68,25,64,20,17,81,75,82,78,82,33,33,33,32,33,33,33,32,38,38,38,36,39,39,39,36,33,36,36,36,33,32,32,32,32,32,2,1,1,1
Benjamin Lecomte,29,187,78,3,1.0,80,81,12000000,46000,0,2,3,1,1,No,12000000,80.0,78.0,77.0,81.0,42.0,80.0,13,11,10,17,10,11,20,19,21,23,44,40,36,78,25,58,62,34,55,10,23,24,10,41,20,63,11,12,80,78,77,80,81,29,29,29,25,27,27,27,25,28,28,28,28,28,28,28,28,28,28,28,28,28,27,27,27,27,27,1,1,1,1
Igor Akinfeev,34,186,78,999,1.0,80,80,6500000,500,1,3,3,1,1,Yes,6500000,77.0,72.0,78.0,84.0,50.0,82.0,19,13,18,23,10,15,19,13,22,22,51,50,53,71,45,59,62,35,72,13,24,17,11,59,10,67,13,13,77,72,78,82,84,33,33,33,29,30,30,30,29,34,34,34,33,32,32,32,33,30,30,30,30,30,30,30,30,30,30,5,1,1,1
Antonio Adán Garrido,33,190,92,2,1.0,80,80,8000000,13000,0,2,2,1,1,No,8000000,77.0,80.0,78.0,80.0,55.0,79.0,12,11,23,34,15,12,11,12,43,15,56,54,55,76,51,59,71,32,77,12,41,20,11,42,25,63,14,18,77,80,78,79,80,33,33,33,27,29,29,29,27,32,32,32,31,33,33,33,31,30,34,34,34,30,31,34,34,34,31,1,1,1,1
Vicente Guaita Panadero,33,190,80,2,1.0,80,80,8000000,48000,1,2,3,1,1,Yes,8000000,81.0,80.0,77.0,82.0,52.0,78.0,35,11,20,39,13,16,32,20,33,24,51,52,63,74,48,58,68,41,62,15,24,27,13,52,29,62,15,17,81,80,77,78,82,33,33,33,32,32,32,32,32,36,36,36,36,36,36,36,36,36,35,35,35,36,35,33,33,33,35,2,1,1,1
Franco Armani,33,189,88,4,1.0,80,80,8000000,17000,1,1,3,1,2,No,8000000,78.0,76.0,67.0,86.0,43.0,81.0,18,11,19,37,18,19,15,16,29,35,41,45,37,77,39,50,67,35,81,17,45,21,17,55,20,53,13,19,78,76,67,81,86,35,35,35,32,34,34,34,32,37,37,37,35,37,37,37,35,32,36,36,36,32,31,34,34,34,31,2,1,1,1
Héniton Enaldo Pires Tramontino,24,182,74,5,1.0,80,80,11500000,500,1,1,3,1,1,No,11500000,81.0,75.0,78.0,79.0,41.0,81.0,18,11,12,28,16,14,15,13,30,20,43,39,42,77,48,59,70,30,64,12,36,22,13,77,21,41,14,17,81,75,78,81,79,31,31,31,29,31,31,31,29,35,35,35,32,36,36,36,32,29,33,33,33,29,29,30,30,30,29,1,1,1,1
Predrag Rajković,24,191,85,36,1.0,79,84,12500000,20000,1,1,2,1,1,No,12500000,78.0,77.0,74.0,81.0,23.0,79.0,13,9,13,26,8,8,14,10,25,18,30,18,32,75,29,56,35,26,66,10,25,10,4,42,20,32,10,10,78,77,74,79,81,27,27,27,21,24,24,24,21,26,26,26,24,28,28,28,24,23,26,26,26,23,22,24,24,24,22,0,1,1,1
Rui Tiago Dantas da Silva,26,191,91,15,1.0,79,83,12000000,23000,1,1,3,1,1,No,12000000,78.0,74.0,75.0,84.0,30.0,80.0,13,20,14,25,20,18,19,20,26,24,31,30,34,71,24,56,62,27,66,14,19,27,20,50,30,49,10,19,78,74,75,80,84,33,33,33,27,30,30,30,27,32,32,32,30,32,32,32,30,28,31,31,31,28,28,30,30,30,28,1,1,1,1
Pierluigi Gollini,25,194,94,8,1.0,79,83,12000000,40000,1,1,2,1,0,No,12000000,81.0,75.0,69.0,81.0,47.0,79.0,17,14,19,31,20,18,13,15,25,24,46,48,56,77,52,52,52,40,68,17,19,18,12,30,21,63,12,19,81,75,69,79,81,33,33,33,29,30,30,30,29,31,31,31,32,31,31,31,32,31,31,31,31,31,31,30,30,30,31,1,1,1,1
Matheus Lima Magalhães,27,190,84,5,1.0,79,82,11000000,14000,1,1,3,1,1,No,11000000,82.0,75.0,72.0,83.0,46.0,77.0,15,12,14,27,13,12,21,12,36,22,44,47,45,75,48,54,63,32,71,15,19,26,12,52,13,46,20,15,82,75,72,77,83,31,31,31,27,29,29,29,27,32,32,32,31,34,34,34,31,30,33,33,33,30,30,31,31,31,30,2,1,1,1
Édouard Mendy,28,197,86,37,1.0,79,81,11000000,40000,1,1,2,1,0,No,11000000,80.0,77.0,75.0,79.0,34.0,79.0,10,5,10,20,9,13,13,14,22,11,36,33,48,77,27,56,39,35,72,9,22,13,6,39,13,56,11,13,80,77,75,79,79,27,27,27,21,23,23,23,21,25,25,25,25,26,26,26,25,24,26,26,26,24,24,25,25,25,24,1,1,1,1
Marco Bizot,29,193,85,7,1.0,79,80,10000000,12000,1,2,2,1,1,No,10000000,82.0,76.0,67.0,79.0,46.0,76.0,20,15,16,28,13,12,20,15,33,32,45,47,50,78,40,50,67,32,64,14,39,17,13,47,36,60,12,14,82,76,67,76,79,33,33,33,30,31,31,31,30,34,34,34,33,34,34,34,33,30,32,32,32,30,29,29,29,29,29,1,1,1,1
Alexander Schwolow,28,190,84,1,1.0,79,80,10500000,40000,1,1,3,1,1,Yes,10500000,78.0,76.0,71.0,81.0,37.0,78.0,9,12,12,26,11,15,13,16,23,22,36,38,40,79,42,53,72,31,67,15,26,13,10,34,22,32,17,9,78,76,71,78,81,30,30,30,25,27,27,27,25,29,29,29,28,29,29,29,28,26,29,29,29,26,26,28,28,28,26,1,1,1,1
Francisco Guillermo Ochoa Magaña,34,185,78,13,1.0,79,79,5500000,34000,1,3,3,1,0,Yes,5500000,77.0,69.0,75.0,83.0,49.0,79.0,15,12,19,31,16,10,14,17,32,18,47,50,65,74,42,56,75,34,56,11,19,23,16,48,16,57,10,12,77,69,75,79,83,33,33,33,28,29,29,29,28,33,33,33,32,33,33,33,32,30,32,32,32,30,30,30,30,30,30,2,1,1,1
Benoît Costil,32,187,88,3,1.0,79,79,7500000,28000,1,2,3,1,1,No,7500000,78.0,77.0,77.0,80.0,49.0,78.0,11,14,15,35,12,13,12,11,33,12,47,51,38,76,45,58,49,28,65,15,22,22,12,48,15,58,11,14,78,77,77,78,80,32,32,32,27,29,29,29,27,32,32,32,30,32,32,32,30,28,31,31,31,28,28,28,28,28,28,2,1,1,1
Ben Foster,37,193,90,0,2.0,79,79,1300000,12000,0,2,3,1,1,Yes,1300000,80.0,77.0,73.0,80.0,49.0,79.0,15,18,14,36,14,14,15,17,32,25,50,48,45,75,50,55,73,32,57,14,15,23,14,42,41,63,15,14,80,77,73,79,80,33,33,33,29,31,31,31,29,34,34,34,33,34,34,34,33,31,32,32,32,31,31,30,30,30,31,4,1,1,1
